cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
88,2048.00735919297,8.088870777571943,2060.08363196588,7.14210170253135,1.0,0.8829541105211243,29.326620097372487,37.23654329999997,0.00026886631764731355,1934031.970945414,,Cell2
89,2048.05068647502,8.088608808652214,2059.36107795248,7.14260593945006,1.0,0.8830450462395665,29.37938686265432,37.17333309999999,0.00025324417543334837,1934875.8970334427,,Cell2
90,2046.73319966967,8.083670968932246,2060.54863835395,7.14278767832458,1.0,0.8836069288045323,29.341876473684213,37.274074,0.0002531353615763071,1935707.6311201998,,Cell2
91,2047.79536490506,8.087724672456988,2060.97871022678,7.14318268978032,1.0,0.8832128910256631,29.332775007727975,37.31871399999997,0.0002685124473791066,1936580.8152112719,,Cell2
92,2046.33149404897,8.08158341462097,2061.76648590522,7.14210805119825,1.0,0.8837510775768214,29.360565307931573,37.39061399999999,0.00026840445113537735,1937360.025292557,,Cell2
93,2051.09935609776,8.100024737275577,2062.55773815674,7.14194812843071,1.0,0.8817192984070918,29.26311872952087,37.18755699999998,0.0002682895284953497,1938189.899379117,,Cell2
94,2049.86806390048,8.095741724328349,2063.04426582655,7.14276520310381,1.0,0.8822866942060703,29.17276223065015,37.337281,0.0002681748361689825,1939018.8194655809,,Cell2
95,2050.07073750997,8.096244094886284,2063.68048654378,7.14275078759798,1.0,0.8822301679502789,29.16820422635659,37.32898599999997,0.00026805993564111126,1939849.955552278,,Cell2
96,2049.78496541976,8.09460826293851,2063.68164385389,7.14193318070693,1.0,0.8823074506775775,29.2610803498452,37.355059000000004,0.0002679496462078648,1940648.407635558,,Cell2
97,2052.38731367622,8.104616188971995,2063.00781749159,7.14213296217473,1.0,0.8812425901047699,29.383571119195047,37.2424695,0.0002678325362144733,1941496.957724065,,Cell2
98,2051.09504986595,8.10019937940576,2062.97513710042,7.14310684448365,1.0,0.8818433361831245,29.436166543913714,37.33530640000001,0.00028316124604649604,1942342.2698122459,,Cell2
99,2050.63799675738,8.098906226535274,2063.38962115858,7.1426158389867,1.0,0.8819235140153393,29.425855049306623,37.43802140000001,0.0002676048650853035,1943148.7318963602,,Cell2
100,2870.17287852395,11.166774732265,2063.38962115858,7.14411348734319,0.7189077830809006,0.6397651657377099,28.628136272214388,35.42325120000001,0.00023146032943738347,1944160.5740019022,,Cell2
101,2043.27019680357,8.077015700321653,2055.88548381375,7.14337576092499,1.0,0.8844078092655581,29.16990795023328,36.6818885,0.0002520726940075786,1943868.029971396,,Cell2
102,2042.9139645608,8.073936505150117,2057.06186989665,7.14336189839466,1.0,0.8847433830868161,29.22347868478261,36.86875105000001,0.00025196394395250526,1944707.0220589093,,Cell2
103,2043.96321800216,8.07672963673131,2057.37681324083,7.14351356782585,1.0,0.8844561956535744,29.248924037267077,36.91180880000001,0.00025185292469187515,1945564.268148324,,Cell2
104,2044.49131841151,8.077848725122687,2057.58121182861,7.14330606366912,1.0,0.8843079768816328,29.2351708742236,36.96711725000001,0.000251746629132053,1946385.748234011,,Cell2
105,2036.0936196347,8.041401140152425,2060.01381288574,7.14355465234886,1.0,0.888347009164805,29.46029248815166,37.409575,0.0002516699080309387,1946979.1002958992,,Cell2
106,2056.2381970973,8.120578762663694,2059.22826468506,7.14257257537403,1.0,0.8795644724503773,29.34642775734158,37.17412479999997,0.0002515433282993718,1947958.844398093,,Cell2
107,2046.83556443271,8.084896050286352,2060.15610487603,7.14277038600712,1.0,0.8834708995119531,29.23030779411765,37.07654825,0.0002514424538474118,1948740.3324796108,,Cell2
108,2047.57226435011,8.087442586312008,2060.71639308648,7.14358000347197,1.0,0.8832928243054826,29.227413567901234,36.93827735,0.00025133639663781196,1949562.648565391,,Cell2
109,2048.0108092427,8.088630057984009,2061.30467963759,7.14346917619463,1.0,0.8831494486688208,29.136506530139105,37.132250799999966,0.0002512333802047848,1950362.0526487757,,Cell2
110,2048.47699300908,8.090121723868492,2061.28002608019,7.14254100320156,1.0,0.8828718833894352,29.13309944049459,37.033485499999976,0.0002511291989492694,1951171.162733166,,Cell2
111,2048.63181903513,8.090583180410848,2062.04045173855,7.1423003194022,1.0,0.8827917790518912,29.10661769444444,37.08326334999999,0.000251026369236828,1951970.4348165412,,Cell2
112,2048.17478301967,8.08827961790404,2063.1192622423,7.1423903620017,1.0,0.8830543328635003,29.077093462848296,37.046915999999996,0.00025093049304400413,1952716.2488943378,,Cell2
113,2051.93611666456,8.102898793852106,2063.81227598986,7.14239557118698,1.0,0.8814617771859762,29.037654188271606,37.12908824999999,0.0002508257115185923,1953531.988979422,,Cell2
114,2051.23075706206,8.100302094054017,2063.91670803738,7.14231198883728,1.0,0.8817340274358477,29.026497535493828,37.09827299999999,0.00025072153010763333,1954343.733064096,,Cell2
115,2042.07560924808,8.06168473308717,2066.36597456679,7.14283408604199,1.0,0.8860225030539849,29.166387285266456,37.207309099999996,0.0002506542103720992,1954868.6231188439,,Cell2
116,2059.0728715662,8.127093532746612,2064.95875669569,7.1428568063646,1.0,0.8788943768868646,29.197359277691103,37.319504,0.0002505650229593278,1955564.4491914238,,Cell2
117,2052.73651718855,8.103443896283508,2065.35767982368,7.14294310866837,1.0,0.8814700515103642,29.25476912989045,37.54863400000001,0.00025046691641490004,1956330.4332713261,,Cell2
118,2052.5074899034,8.102348205323889,2065.491746081,7.14203094675713,1.0,0.8814766738936555,29.22698762111801,37.428536500000014,0.00028102221085833136,1957126.647354376,,Cell2
119,2058.29532673089,8.126446272475901,2064.05672950223,7.14229535365341,1.0,0.8788952900413814,29.173265675883258,37.2207395,0.00025025738093728837,1957968.4294421743,,Cell2
120,2051.5519415931,8.101036529074952,2064.55019595757,7.14281692613997,1.0,0.8817164199302284,29.277132379416283,37.406414,0.0002705700104011361,1958813.0055302768,,Cell2
121,2052.00202550391,8.103032134623733,2065.24885084039,7.14283201913727,1.0,0.8815011344477347,29.311728342024537,37.229826349999946,0.0002704511247953141,1959674.0656200908,,Cell2
122,2052.33519578099,8.104416873143135,2065.37337543918,7.14170270711172,1.0,0.8812111739683937,29.35553735339506,37.57194259999999,0.00028563903601805314,1960502.549706508,,Cell2
123,2052.82824698987,8.106132437716063,2065.77733950955,7.14186240554782,1.0,0.881044377256692,29.299525363496933,37.43881099999998,0.0002854950197171698,1961491.51380966,,Cell2
124,2052.84323312283,8.106511012389772,2066.75777492296,7.14286830003088,1.0,0.8811273171792295,29.25553629601227,37.49372204999998,0.00028537155650823444,1962340.133898185,,Cell2
125,2054.17093566558,8.111409663001023,2067.11322115072,7.14266475767989,1.0,0.8805700925524799,29.257189370597246,37.29264159999999,0.0002852456044555816,1963206.6179885669,,Cell2
126,2054.72020666655,8.1138556300193,2067.99623845242,7.14203215977689,1.0,0.8802266746468967,29.27254386370597,37.38271059999999,0.00028512470656698796,1964039.052075395,,Cell2
127,2054.66590126716,8.113395210937801,2069.05362384006,7.14177825644271,1.0,0.8802453314260794,29.216739615975424,37.3945655,0.0002799119147956904,1964889.7681641257,,Cell2
128,2056.88252541939,8.12199354268118,2069.1134884809,7.14247732408432,1.0,0.8793995324609051,29.203856233944954,37.26538055000001,0.00028487463712700394,1965763.1302552312,,Cell2
129,2056.29665799127,8.119578029304423,2070.14187034695,7.14221154267921,1.0,0.879628413804536,29.171427301684528,37.22153259999999,0.00027966885196580574,1966597.4723422588,,Cell2
130,2054.9949128908,8.11376090316802,2070.32359295763,7.14200675098293,1.0,0.8802338195835093,29.207239767692304,37.57115414999998,0.00028464470479763965,1967351.0484208562,,Cell2
131,2060.48001754752,8.134948658067643,2069.46397280952,7.14174396977115,1.0,0.8779089174322562,29.250353142419602,37.43801959999999,0.0002845220726374799,1968198.9985093102,,Cell2
132,2057.80726514991,8.125166978392455,2068.47856118571,7.14218337400784,1.0,0.8790198888221377,29.31453500152439,37.48345,0.00028439368525585534,1969087.544630627,,Cell2
133,2054.91723647964,8.113705493377015,2067.5397568571,7.14239597263722,1.0,0.8802878017284893,29.42646316539051,37.68927319999999,0.00028427468842143617,1969911.8008316536,,Cell2
